song,artist,previous_date,reentry_date,gap_days,previous_position,reentry_position,gap_strength,position_strength,momentum_score
Kill Bill,SZA,2024-05-19,2024-05-21,2.0,46,46,0.003937007874015748,0.1,0.0003937007874015748
LOVE DIVE,IVE,2024-05-19,2024-05-21,2.0,48,49,0.003937007874015748,0.04,0.00015748031496062991
Teddy Bear,STAYC,2024-05-18,2024-05-21,3.0,47,47,0.005905511811023622,0.08,0.00047244094488188977
Love Always Run Away,Lim Young Woong,2024-05-18,2024-05-23,5.0,50,47,0.00984251968503937,0.08,0.0007874015748031496
Interlude : Dive,Jimin,2024-05-20,2024-05-24,4.0,38,48,0.007874015748031496,0.06,0.0004724409448818897
VIBE (feat. Jimin of BTS),TAEYANG,2024-05-22,2024-05-24,2.0,49,43,0.003937007874015748,0.16,0.0006299212598425197
Love Always Run Away,Lim Young Woong,2024-05-23,2024-05-25,2.0,47,50,0.003937007874015748,0.02,7.874015748031496e-05
Like Crazy (Deep House Remix),Jimin,2024-05-20,2024-05-28,8.0,46,43,0.015748031496062992,0.16,0.0025196850393700786
Like Crazy (UK Garage Remix),Jimin,2024-05-20,2024-05-28,8.0,47,44,0.015748031496062992,0.14,0.002204724409448819
Promise,Jimin,2024-05-20,2024-05-28,8.0,43,45,0.015748031496062992,0.12,0.0018897637795275589
LOVE DIVE,IVE,2024-05-22,2024-05-29,7.0,50,49,0.013779527559055118,0.04,0.0005511811023622047
Teddy Bear,STAYC,2024-05-27,2024-05-29,2.0,49,45,0.003937007874015748,0.12,0.0004724409448818897
I Love You,Lim Young Woong,2024-05-27,2024-05-30,3.0,47,46,0.005905511811023622,0.1,0.0005905511811023622
Like Crazy (Deep House Remix),Jimin,2024-05-28,2024-05-30,2.0,43,48,0.003937007874015748,0.06,0.00023622047244094486
Love Always Run Away,Lim Young Woong,2024-05-25,2024-05-30,5.0,50,49,0.00984251968503937,0.04,0.0003937007874015748
Promise,Jimin,2024-05-28,2024-05-30,2.0,45,42,0.003937007874015748,0.18,0.0007086614173228346
Candy (Feat. Zion.T),Jay Park,2024-05-28,2024-05-31,3.0,49,47,0.005905511811023622,0.08,0.00047244094488188977
Teddy Bear,STAYC,2024-05-29,2024-05-31,2.0,45,48,0.003937007874015748,0.06,0.00023622047244094486
Like Crazy (Deep House Remix),Jimin,2024-05-30,2024-06-01,2.0,48,47,0.003937007874015748,0.08,0.00031496062992125983
Like Crazy (UK Garage Remix),Jimin,2024-05-28,2024-06-01,4.0,44,50,0.007874015748031496,0.02,0.00015748031496062991
Love Always Run Away,Lim Young Woong,2024-05-31,2024-06-02,2.0,49,50,0.003937007874015748,0.02,7.874015748031496e-05
Promise,Jimin,2024-05-30,2024-06-02,3.0,42,42,0.005905511811023622,0.18,0.001062992125984252
I Love You,Lim Young Woong,2024-05-31,2024-06-03,3.0,50,44,0.005905511811023622,0.14,0.0008267716535433072
Like Crazy (UK Garage Remix),Jimin,2024-06-01,2024-06-03,2.0,50,49,0.003937007874015748,0.04,0.00015748031496062991
Lovely Touch,Lim Young Woong,2024-05-24,2024-06-03,10.0,45,48,0.01968503937007874,0.06,0.0011811023622047244
NIGHT DANCER - BIG Naughty Remix,imase & BIG Naughty,2024-05-23,2024-06-03,11.0,41,50,0.021653543307086614,0.02,0.0004330708661417323
Dangerously,Charlie Puth,2024-06-02,2024-06-04,2.0,47,47,0.003937007874015748,0.08,0.00031496062992125983
Candy (Feat. Zion.T),Jay Park,2024-06-01,2024-06-05,4.0,45,45,0.007874015748031496,0.12,0.0009448818897637794
Love Always Run Away,Lim Young Woong,2024-06-03,2024-06-05,2.0,47,48,0.003937007874015748,0.06,0.00023622047244094486
Love Me Like This,NMIXX,2024-06-02,2024-06-05,3.0,46,50,0.005905511811023622,0.02,0.00011811023622047244
Lovely Touch,Lim Young Woong,2024-06-03,2024-06-05,2.0,48,49,0.003937007874015748,0.04,0.00015748031496062991
Teddy Bear,STAYC,2024-06-02,2024-06-05,3.0,49,46,0.005905511811023622,0.1,0.0005905511811023622
Fighting (Feat. Lee Young Ji),BSS,2024-06-02,2024-06-06,4.0,45,49,0.007874015748031496,0.04,0.00031496062992125983
VIBE (feat. Jimin of BTS),TAEYANG,2024-06-04,2024-06-06,2.0,36,45,0.003937007874015748,0.12,0.0004724409448818897
Love Me Like This,NMIXX,2024-06-05,2024-06-07,2.0,50,50,0.003937007874015748,0.02,7.874015748031496e-05
People Pt.2 (feat. IU),Agust D,2024-06-03,2024-06-07,4.0,43,45,0.007874015748031496,0.12,0.0009448818897637794
Like Crazy (Deep House Remix),Jimin,2024-06-03,2024-06-08,5.0,46,45,0.00984251968503937,0.12,0.0011811023622047244
Like Crazy (UK Garage Remix),Jimin,2024-06-03,2024-06-08,5.0,49,49,0.00984251968503937,0.04,0.0003937007874015748
Promise,Jimin,2024-06-02,2024-06-08,6.0,42,50,0.011811023622047244,0.02,0.00023622047244094488
With you,Jimin & HA SUNG WOON,2024-05-20,2024-06-08,19.0,50,44,0.03740157480314961,0.14,0.0052362204724409455
A bientot,Lim Young Woong,2024-06-07,2024-06-09,2.0,41,44,0.003937007874015748,0.14,0.0005511811023622047
Candy (Feat. Zion.T),Jay Park,2024-06-05,2024-06-09,4.0,45,50,0.007874015748031496,0.02,0.00015748031496062991
Dance The Night (From Barbie The Album),Dua Lipa,2024-06-03,2024-06-09,6.0,42,46,0.011811023622047244,0.1,0.0011811023622047244
Love Always Run Away,Lim Young Woong,2024-06-07,2024-06-09,2.0,48,48,0.003937007874015748,0.06,0.00023622047244094486
I Love You,Lim Young Woong,2024-06-06,2024-06-10,4.0,43,46,0.007874015748031496,0.1,0.0007874015748031496
Like Crazy (Deep House Remix),Jimin,2024-06-08,2024-06-10,2.0,45,45,0.003937007874015748,0.12,0.0004724409448818897
Like Crazy (UK Garage Remix),Jimin,2024-06-08,2024-06-10,2.0,49,48,0.003937007874015748,0.06,0.00023622047244094486
Promise,Jimin,2024-06-08,2024-06-10,2.0,50,50,0.003937007874015748,0.02,7.874015748031496e-05
Kill Bill,SZA,2024-06-09,2024-06-11,2.0,49,49,0.003937007874015748,0.04,0.00015748031496062991
Vancouver,BIG Naughty,2024-06-10,2024-06-12,2.0,39,50,0.003937007874015748,0.02,7.874015748031496e-05
Dangerously,Charlie Puth,2024-06-08,2024-06-13,5.0,46,49,0.00984251968503937,0.04,0.0003937007874015748
I Love You,Lim Young Woong,2024-06-11,2024-06-13,2.0,50,46,0.003937007874015748,0.1,0.0003937007874015748
Love Always Run Away,Lim Young Woong,2024-06-10,2024-06-13,3.0,47,47,0.005905511811023622,0.08,0.00047244094488188977
Bite Me,ENHYPEN,2024-06-10,2024-06-14,4.0,49,47,0.007874015748031496,0.08,0.0006299212598425197
Filter,BTS,2024-06-12,2024-06-14,2.0,46,43,0.003937007874015748,0.16,0.0006299212598425197
Like Crazy (Instrumental),Jimin,2024-06-12,2024-06-14,2.0,47,49,0.003937007874015748,0.04,0.00015748031496062991
Dangerously,Charlie Puth,2024-06-13,2024-06-16,3.0,49,44,0.005905511811023622,0.14,0.0008267716535433072
Haegeum,Agust D,2024-06-12,2024-06-16,4.0,49,48,0.007874015748031496,0.06,0.0004724409448818897
I Don’t Think That I Like Her,Charlie Puth,2024-05-29,2024-06-16,18.0,47,49,0.03543307086614173,0.04,0.0014173228346456694
I Don’t Think That I Like Her,Charlie Puth,2024-06-16,2024-06-18,2.0,49,49,0.003937007874015748,0.04,0.00015748031496062991
LOVE DIVE,IVE,2024-05-29,2024-06-19,21.0,49,48,0.04133858267716536,0.06,0.0024803149606299215
Like Crazy (Deep House Remix),Jimin,2024-06-17,2024-06-20,3.0,46,43,0.005905511811023622,0.16,0.0009448818897637795
Like Crazy (UK Garage Remix),Jimin,2024-06-17,2024-06-20,3.0,48,42,0.005905511811023622,0.18,0.001062992125984252
Christmas Love,Jimin,2024-06-18,2024-06-21,3.0,50,48,0.005905511811023622,0.06,0.0003543307086614173
Filter,BTS,2024-06-15,2024-06-21,6.0,45,47,0.011811023622047244,0.08,0.0009448818897637795
Haegeum,Agust D,2024-06-18,2024-06-21,3.0,45,50,0.005905511811023622,0.02,0.00011811023622047244
Like Crazy (Instrumental),Jimin,2024-06-15,2024-06-21,6.0,48,41,0.011811023622047244,0.2,0.002362204724409449
A bientot,Lim Young Woong,2024-06-20,2024-06-22,2.0,48,46,0.003937007874015748,0.1,0.0003937007874015748
The Planet,BTS,2024-06-20,2024-06-22,2.0,46,42,0.003937007874015748,0.18,0.0007086614173228346
FLOWER,JISOO,2024-06-21,2024-06-23,2.0,49,48,0.003937007874015748,0.06,0.00023622047244094486
Kill Bill,SZA,2024-06-19,2024-06-23,4.0,47,47,0.007874015748031496,0.08,0.0006299212598425197
I Don’t Think That I Like Her,Charlie Puth,2024-06-20,2024-06-25,5.0,49,48,0.00984251968503937,0.06,0.0005905511811023622
Like Crazy (Deep House Remix),Jimin,2024-06-24,2024-06-27,3.0,47,45,0.005905511811023622,0.12,0.0007086614173228346
Like Crazy (UK Garage Remix),Jimin,2024-06-24,2024-06-27,3.0,49,46,0.005905511811023622,0.1,0.0005905511811023622
Promise,Jimin,2024-06-26,2024-06-28,2.0,45,42,0.003937007874015748,0.18,0.0007086614173228346
With you,Jimin & HA SUNG WOON,2024-06-24,2024-06-28,4.0,43,43,0.007874015748031496,0.16,0.0012598425196850393
FLOWER,JISOO,2024-06-27,2024-06-29,2.0,40,44,0.003937007874015748,0.14,0.0005511811023622047
Dangerously,Charlie Puth,2024-06-20,2024-07-01,11.0,50,44,0.021653543307086614,0.14,0.003031496062992126
I Don’t Think That I Like Her,Charlie Puth,2024-06-26,2024-07-01,5.0,48,50,0.00984251968503937,0.02,0.0001968503937007874
People Pt.2 (feat. IU),Agust D,2024-06-07,2024-07-02,25.0,45,35,0.04921259842519685,0.32,0.015748031496062992
The Planet,BTS,2024-06-24,2024-07-02,8.0,48,44,0.015748031496062992,0.14,0.002204724409448819
Like Crazy (Deep House Remix),Jimin,2024-07-01,2024-07-03,2.0,39,49,0.003937007874015748,0.04,0.00015748031496062991
Like Crazy (UK Garage Remix),Jimin,2024-07-01,2024-07-03,2.0,42,50,0.003937007874015748,0.02,7.874015748031496e-05
Promise,Jimin,2024-07-01,2024-07-03,2.0,41,47,0.003937007874015748,0.08,0.00031496062992125983
Dare to Love (feat. BIG Naughty),B.I,2024-07-01,2024-07-04,3.0,48,48,0.005905511811023622,0.06,0.0003543307086614173
Thirsty,aespa,2024-07-02,2024-07-04,2.0,49,50,0.003937007874015748,0.02,7.874015748031496e-05
With you,Jimin & HA SUNG WOON,2024-06-28,2024-07-05,7.0,43,50,0.013779527559055118,0.02,0.00027559055118110237
Attention,NewJeans,2024-07-04,2024-07-07,3.0,29,37,0.005905511811023622,0.28,0.0016535433070866143
Cruel Summer,Taylor Swift,2024-07-04,2024-07-07,3.0,35,44,0.005905511811023622,0.14,0.0008267716535433072
Cupid - Twin Ver.,FIFTY FIFTY,2024-07-04,2024-07-07,3.0,31,43,0.005905511811023622,0.16,0.0009448818897637795
Promise,Jimin,2024-07-04,2024-07-07,3.0,49,46,0.005905511811023622,0.1,0.0005905511811023622
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2024-07-04,2024-07-07,3.0,32,50,0.005905511811023622,0.02,0.00011811023622047244
Super,SEVENTEEN,2024-07-04,2024-07-07,3.0,33,47,0.005905511811023622,0.08,0.00047244094488188977
Rainbow,Lim Young Woong,2024-07-04,2024-07-08,4.0,37,50,0.007874015748031496,0.02,0.00015748031496062991
Cupid,FIFTY FIFTY,2024-07-04,2024-07-09,5.0,36,50,0.00984251968503937,0.02,0.0001968503937007874
Like Crazy (Deep House Remix),Jimin,2024-07-03,2024-07-09,6.0,49,46,0.011811023622047244,0.1,0.0011811023622047244
"Our Blues, Our Life",Lim Young Woong,2024-07-04,2024-07-10,6.0,40,45,0.011811023622047244,0.12,0.0014173228346456691
Rainbow,Lim Young Woong,2024-07-08,2024-07-10,2.0,50,43,0.003937007874015748,0.16,0.0006299212598425197
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2024-07-08,2024-07-10,2.0,45,46,0.003937007874015748,0.1,0.0003937007874015748
A bientot,Lim Young Woong,2024-07-04,2024-07-11,7.0,47,47,0.013779527559055118,0.08,0.0011023622047244095
Promise,Jimin,2024-07-10,2024-07-12,2.0,47,49,0.003937007874015748,0.04,0.00015748031496062991
A bientot,Lim Young Woong,2024-07-11,2024-07-13,2.0,47,50,0.003937007874015748,0.02,7.874015748031496e-05
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2024-07-14,2024-07-16,2.0,49,50,0.003937007874015748,0.02,7.874015748031496e-05
The Planet,BTS,2024-07-04,2024-07-16,12.0,43,46,0.023622047244094488,0.1,0.002362204724409449
A bientot,Lim Young Woong,2024-07-13,2024-07-17,4.0,50,50,0.007874015748031496,0.02,0.00015748031496062991
ANTIFRAGILE,LE SSERAFIM,2024-07-04,2024-07-17,13.0,42,49,0.025590551181102362,0.04,0.0010236220472440946
In Bloom,ZEROBASEONE,2024-07-14,2024-07-17,3.0,44,48,0.005905511811023622,0.06,0.0003543307086614173
Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,2024-07-16,2024-07-19,3.0,1,1,0.005905511811023622,1.0,0.005905511811023622
Seven (feat. Latto) (Instrumental),Jung Kook & Latto,2024-07-16,2024-07-19,3.0,10,10,0.005905511811023622,0.82,0.00484251968503937
Broken Melodies,NCT DREAM,2024-06-30,2024-07-20,20.0,50,44,0.03937007874015748,0.14,0.005511811023622048
VIBE (feat. Jimin of BTS),TAEYANG,2024-07-15,2024-07-20,5.0,50,49,0.00984251968503937,0.04,0.0003937007874015748
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2024-07-16,2024-07-21,5.0,50,48,0.00984251968503937,0.06,0.0005905511811023622
In Bloom,ZEROBASEONE,2024-07-19,2024-07-22,3.0,49,50,0.005905511811023622,0.02,0.00011811023622047244
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey & SUGA,2024-07-19,2024-07-22,3.0,47,46,0.005905511811023622,0.1,0.0005905511811023622
A bientot,Lim Young Woong,2024-07-18,2024-07-23,5.0,50,50,0.00984251968503937,0.02,0.0001968503937007874
FLOWER,JISOO,2024-06-30,2024-07-23,23.0,44,45,0.045275590551181105,0.12,0.005433070866141732
vampire,Olivia Rodrigo,2024-07-22,2024-07-25,3.0,42,48,0.005905511811023622,0.06,0.0003543307086614173
Cupid - Twin Ver.,FIFTY FIFTY,2024-07-21,2024-07-26,5.0,45,49,0.00984251968503937,0.04,0.0003937007874015748
Dance The Night (From Barbie The Album),Dua Lipa,2024-06-09,2024-07-26,47.0,46,45,0.09251968503937008,0.12,0.011102362204724409
My You,Jung Kook,2024-07-22,2024-07-27,5.0,35,49,0.00984251968503937,0.04,0.0003937007874015748
Seven (feat. Latto) (Band Ver.),Jung Kook & Latto,2024-07-22,2024-07-27,5.0,16,34,0.00984251968503937,0.34,0.003346456692913386
Seven (feat. Latto) (Summer Mix),Jung Kook & Latto,2024-07-22,2024-07-27,5.0,12,35,0.00984251968503937,0.32,0.0031496062992125984
K-POP,Travis Scott & Bad Bunny & The Weeknd,2024-07-26,2024-07-29,3.0,47,46,0.005905511811023622,0.1,0.0005905511811023622
Dance The Night (From Barbie The Album),Dua Lipa,2024-07-28,2024-07-30,2.0,41,50,0.003937007874015748,0.02,7.874015748031496e-05
If We Ever Meet Again,Lim Young Woong,2024-07-28,2024-07-30,2.0,43,40,0.003937007874015748,0.22,0.0008661417322834645
Interlude : Dive,Jimin,2024-07-28,2024-07-30,2.0,45,44,0.003937007874015748,0.14,0.0005511811023622047
Let's Say Goodbye,Parc Jae Jung,2024-07-28,2024-07-30,2.0,39,38,0.003937007874015748,0.26,0.0010236220472440946
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",Fast & Furious: The Fast Saga & Jimin & BTS,2024-07-28,2024-07-31,3.0,46,45,0.005905511811023622,0.12,0.0007086614173228346
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey & SUGA,2024-07-28,2024-07-31,3.0,50,41,0.005905511811023622,0.2,0.0011811023622047244
My You,Jung Kook,2024-07-28,2024-07-31,3.0,49,50,0.005905511811023622,0.02,0.00011811023622047244
"Our Blues, Our Life",Lim Young Woong,2024-07-26,2024-07-31,5.0,50,47,0.00984251968503937,0.08,0.0007874015748031496
Rainbow,Lim Young Woong,2024-07-26,2024-07-31,5.0,48,46,0.00984251968503937,0.1,0.000984251968503937
Super,SEVENTEEN,2024-07-28,2024-07-31,3.0,48,49,0.005905511811023622,0.04,0.00023622047244094488
vampire,Olivia Rodrigo,2024-07-28,2024-07-31,3.0,42,48,0.005905511811023622,0.06,0.0003543307086614173
Seven (feat. Latto) (Band Ver.),Jung Kook & Latto,2024-07-30,2024-08-02,3.0,46,49,0.005905511811023622,0.04,0.00023622047244094488
My You,Jung Kook,2024-08-01,2024-08-03,2.0,50,47,0.003937007874015748,0.08,0.00031496062992125983
A bientot,Lim Young Woong,2024-07-25,2024-08-04,10.0,46,50,0.01968503937007874,0.02,0.0003937007874015748
Seven (feat. Latto) (Band Ver.),Jung Kook & Latto,2024-08-02,2024-08-05,3.0,49,49,0.005905511811023622,0.04,0.00023622047244094488
A bientot,Lim Young Woong,2024-08-04,2024-08-06,2.0,50,49,0.003937007874015748,0.04,0.00015748031496062991
Cupid - Twin Ver.,FIFTY FIFTY,2024-07-26,2024-08-06,11.0,49,50,0.021653543307086614,0.02,0.0004330708661417323
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey & SUGA,2024-08-05,2024-08-07,2.0,45,49,0.003937007874015748,0.04,0.00015748031496062991
My You,Jung Kook,2024-08-04,2024-08-07,3.0,48,50,0.005905511811023622,0.02,0.00011811023622047244
Love Always Run Away,Lim Young Woong,2024-06-13,2024-08-09,57.0,47,50,0.11220472440944881,0.02,0.0022440944881889765
My You,Jung Kook,2024-08-08,2024-08-10,2.0,50,50,0.003937007874015748,0.02,7.874015748031496e-05
Love Always Run Away,Lim Young Woong,2024-08-09,2024-08-11,2.0,50,50,0.003937007874015748,0.02,7.874015748031496e-05
SOS,KANGDANIEL,2024-08-10,2024-08-12,2.0,30,47,0.003937007874015748,0.08,0.00031496062992125983
Stay Alive (Prod. SUGA of BTS),Jung Kook,2024-07-18,2024-08-12,25.0,36,49,0.04921259842519685,0.04,0.001968503937007874
Kitsch,IVE,2024-08-15,2024-08-17,2.0,50,49,0.003937007874015748,0.04,0.00015748031496062991
Kitsch,IVE,2024-08-17,2024-08-19,2.0,49,50,0.003937007874015748,0.02,7.874015748031496e-05
"Our Blues, Our Life",Lim Young Woong,2024-08-17,2024-08-20,3.0,47,49,0.005905511811023622,0.04,0.00023622047244094488
Intro: Singularity,BTS,2024-08-18,2024-08-21,3.0,45,49,0.005905511811023622,0.04,0.00023622047244094488
SOS,KANGDANIEL,2024-08-21,2024-08-23,2.0,41,45,0.003937007874015748,0.12,0.0004724409448818897
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",Fast & Furious: The Fast Saga & Jimin & BTS,2024-08-19,2024-08-24,5.0,47,50,0.00984251968503937,0.02,0.0001968503937007874
"Our Blues, Our Life",Lim Young Woong,2024-08-20,2024-08-24,4.0,49,47,0.007874015748031496,0.08,0.0006299212598425197
Sugarcoat (NATTY Solo),KISS OF LIFE,2024-08-22,2024-08-24,2.0,50,44,0.003937007874015748,0.14,0.0005511811023622047
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey & SUGA,2024-08-23,2024-08-25,2.0,46,50,0.003937007874015748,0.02,7.874015748031496e-05
Intro: Singularity,BTS,2024-08-23,2024-08-27,4.0,50,49,0.007874015748031496,0.04,0.00031496062992125983
A bientot,Lim Young Woong,2024-08-12,2024-08-28,16.0,44,49,0.031496062992125984,0.04,0.0012598425196850393
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey & SUGA,2024-08-26,2024-08-30,4.0,48,47,0.007874015748031496,0.08,0.0006299212598425197
SOS,KANGDANIEL,2024-08-23,2024-08-31,8.0,45,49,0.015748031496062992,0.04,0.0006299212598425197
Attention,NewJeans,2024-08-30,2024-09-01,2.0,48,49,0.003937007874015748,0.04,0.00015748031496062991
Rainbow,Lim Young Woong,2024-08-30,2024-09-01,2.0,50,50,0.003937007874015748,0.02,7.874015748031496e-05
A bientot,Lim Young Woong,2024-08-28,2024-09-03,6.0,49,50,0.011811023622047244,0.02,0.00023622047244094488
"Our Blues, Our Life",Lim Young Woong,2024-08-29,2024-09-03,5.0,50,44,0.00984251968503937,0.14,0.001377952755905512
アイドル,YOASOBI,2024-08-31,2024-09-03,3.0,48,45,0.005905511811023622,0.12,0.0007086614173228346
Sweet Night,V,2024-08-31,2024-09-04,4.0,41,39,0.007874015748031496,0.24,0.0018897637795275589
Fry’s Dream,AKMU,2024-08-25,2024-09-05,11.0,46,41,0.021653543307086614,0.2,0.004330708661417323
Memories,RIIZE,2024-09-02,2024-09-05,3.0,47,24,0.005905511811023622,0.54,0.003188976377952756
Seven (feat. Latto) (Alesso Remix),Jung Kook & Latto,2024-08-30,2024-09-05,6.0,17,46,0.011811023622047244,0.1,0.0011811023622047244
Seven (feat. Latto) (Alesso Remix),Jung Kook & Latto,2024-09-05,2024-09-07,2.0,46,24,0.003937007874015748,0.54,0.0021259842519685043
Sweet Night,V,2024-09-05,2024-09-07,2.0,49,47,0.003937007874015748,0.08,0.00031496062992125983
Better Things,aespa,2024-09-06,2024-09-09,3.0,50,50,0.005905511811023622,0.02,0.00011811023622047244
"Steal The Show - From ""Elemental""",Lauv,2024-09-06,2024-09-09,3.0,48,44,0.005905511811023622,0.14,0.0008267716535433072
Sugarcoat (NATTY Solo),KISS OF LIFE,2024-09-06,2024-09-09,3.0,47,49,0.005905511811023622,0.04,0.00023622047244094488
A bientot,Lim Young Woong,2024-09-04,2024-09-10,6.0,46,44,0.011811023622047244,0.14,0.0016535433070866143
"Our Blues, Our Life",Lim Young Woong,2024-09-06,2024-09-10,4.0,49,37,0.007874015748031496,0.28,0.002204724409448819
Rainbow,Lim Young Woong,2024-09-08,2024-09-10,2.0,49,36,0.003937007874015748,0.3,0.0011811023622047244
Fry’s Dream,AKMU,2024-09-09,2024-09-12,3.0,43,39,0.005905511811023622,0.24,0.0014173228346456691
Click Like (Prod. Crush) (Feat. Paul Blanco),Various Artists,2024-09-09,2024-09-13,4.0,41,48,0.007874015748031496,0.06,0.0004724409448818897
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey & SUGA,2024-09-02,2024-09-13,11.0,48,49,0.021653543307086614,0.04,0.0008661417322834646
Sugarcoat (NATTY Solo),KISS OF LIFE,2024-09-09,2024-09-13,4.0,49,46,0.007874015748031496,0.1,0.0007874015748031496
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Fast & Furious: The Fast Saga & Jimin & BTS,2024-06-04,2024-09-14,102.0,43,35,0.20078740157480315,0.32,0.06425196850393701
Interlude : Dive,Jimin,2024-09-12,2024-09-14,2.0,32,26,0.003937007874015748,0.5,0.001968503937007874
Let's Say Goodbye,Parc Jae Jung,2024-09-12,2024-09-14,2.0,48,46,0.003937007874015748,0.1,0.0003937007874015748
Attention,NewJeans,2024-09-04,2024-09-15,11.0,49,48,0.021653543307086614,0.06,0.0012992125984251969
Spicy,aespa,2024-09-12,2024-09-15,3.0,50,46,0.005905511811023622,0.1,0.0005905511811023622
Slow Dancing,V,2024-09-14,2024-09-17,3.0,5,6,0.005905511811023622,0.9,0.00531496062992126
Christmas Tree,V,2024-09-09,2024-09-18,9.0,32,44,0.017716535433070866,0.14,0.0024803149606299215
Memories,RIIZE,2024-09-16,2024-09-18,2.0,41,47,0.003937007874015748,0.08,0.00031496062992125983
A bientot,Lim Young Woong,2024-09-14,2024-09-19,5.0,48,50,0.00984251968503937,0.02,0.0001968503937007874
Vancouver,BIG Naughty,2024-06-13,2024-09-22,101.0,50,50,0.19881889763779528,0.02,0.003976377952755906
アイドル,YOASOBI,2024-09-03,2024-09-22,19.0,45,48,0.03740157480314961,0.06,0.0022440944881889765
A bientot,Lim Young Woong,2024-09-21,2024-09-23,2.0,50,49,0.003937007874015748,0.04,0.00015748031496062991
Queencard,(G)I-DLE,2024-09-11,2024-09-24,13.0,43,50,0.025590551181102362,0.02,0.0005118110236220473
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2024-07-22,2024-09-24,64.0,47,47,0.12598425196850394,0.08,0.010078740157480314
I Love You,Lim Young Woong,2024-06-14,2024-09-25,103.0,50,48,0.20275590551181102,0.06,0.012165354330708662
Memories,RIIZE,2024-09-23,2024-09-25,2.0,47,50,0.003937007874015748,0.02,7.874015748031496e-05
But Sometimes,BOYNEXTDOOR,2024-09-23,2024-09-27,4.0,39,49,0.007874015748031496,0.04,0.00031496062992125983
Attention,NewJeans,2024-09-26,2024-09-28,2.0,49,49,0.003937007874015748,0.04,0.00015748031496062991
Baggy Jeans,NCT,2024-09-21,2024-09-28,7.0,46,50,0.013779527559055118,0.02,0.00027559055118110237
Interlude : Dive,Jimin,2024-09-27,2024-09-29,2.0,45,35,0.003937007874015748,0.32,0.0012598425196850393
"Our Blues, Our Life",Lim Young Woong,2024-09-27,2024-09-29,2.0,41,47,0.003937007874015748,0.08,0.00031496062992125983
Queencard,(G)I-DLE,2024-09-24,2024-09-29,5.0,50,49,0.00984251968503937,0.04,0.0003937007874015748
A bientot,Lim Young Woong,2024-09-27,2024-09-30,3.0,48,50,0.005905511811023622,0.02,0.00011811023622047244
My You,Jung Kook,2024-08-11,2024-09-30,50.0,47,47,0.0984251968503937,0.08,0.007874015748031496
Better Things,aespa,2024-09-16,2024-10-02,16.0,50,50,0.031496062992125984,0.02,0.0006299212598425197
Love Always Run Away,Lim Young Woong,2024-08-11,2024-10-02,52.0,50,48,0.10236220472440945,0.06,0.0061417322834645665
Memories,RIIZE,2024-09-28,2024-10-02,4.0,44,47,0.007874015748031496,0.08,0.0006299212598425197
Cruel Summer,Taylor Swift,2024-09-29,2024-10-04,5.0,44,46,0.00984251968503937,0.1,0.000984251968503937
Interlude : Dive,Jimin,2024-09-29,2024-10-06,7.0,35,37,0.013779527559055118,0.28,0.0038582677165354333
アイドル,YOASOBI,2024-10-01,2024-10-06,5.0,45,44,0.00984251968503937,0.14,0.001377952755905512
"Our Blues, Our Life",Lim Young Woong,2024-10-05,2024-10-07,2.0,45,49,0.003937007874015748,0.04,0.00015748031496062991
3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,2024-10-05,2024-10-09,4.0,28,50,0.007874015748031496,0.02,0.00015748031496062991
A bientot,Lim Young Woong,2024-10-05,2024-10-09,4.0,47,48,0.007874015748031496,0.06,0.0004724409448818897
You & Me (Coachella ver.),JENNIE,2024-10-07,2024-10-10,3.0,4,16,0.005905511811023622,0.7,0.004133858267716535
greedy,Tate McRae,2024-10-08,2024-10-10,2.0,48,50,0.003937007874015748,0.02,7.874015748031496e-05
Interlude : Dive,Jimin,2024-10-09,2024-10-12,3.0,45,39,0.005905511811023622,0.24,0.0014173228346456691
A bientot,Lim Young Woong,2024-10-09,2024-10-13,4.0,48,45,0.007874015748031496,0.12,0.0009448818897637794
"Our Blues, Our Life",Lim Young Woong,2024-10-09,2024-10-13,4.0,46,39,0.007874015748031496,0.24,0.0018897637795275589
Interlude : Dive,Jimin,2024-10-12,2024-10-14,2.0,39,46,0.003937007874015748,0.1,0.0003937007874015748
Love Always Run Away,Lim Young Woong,2024-10-03,2024-10-14,11.0,48,49,0.021653543307086614,0.04,0.0008661417322834646
